year,area,threshold,model
2100,2597312177375.341,n15,mpi
2031,217766169923.91132,n21,mri
2032,12695423965.032957,n21,mri
2033,62140252738.8985,n21,mri
2034,162210974593.8024,n21,mri
2035,435745336206.0841,n21,mri
2036,91941048860.76393,n21,mri
2037,141515668592.7425,n21,mri
2038,22443342241.68974,n21,mri
2039,178687436154.8764,n21,mri
2040,365227973702.0057,n21,mri
2041,223477321730.09497,n21,mri
2042,34757736143.83856,n21,mri
2043,43896371585.43789,n21,mri
2044,122696589472.12852,n21,mri
2045,19939498488.57879,n21,mri
2046,62589121995.93663,n21,mri
2047,88267530959.02005,n21,mri
2048,202207054011.98633,n21,mri
2049,159713768845.93774,n21,mri
2050,127148964421.21973,n21,mri
2051,69914988430.3998,n21,mri
2052,104634766981.49861,n21,mri
2053,56660225470.3752,n21,mri
2054,82346513221.94806,n21,mri
2055,49272236954.704956,n21,mri
2056,227984737839.54816,n21,mri
2057,115230837359.85234,n21,mri
2058,28991658984.611534,n21,mri
2059,72850576217.84067,n21,mri
2060,130110745088.4926,n21,mri
2061,167559726953.8271,n21,mri
2062,62593874718.83795,n21,mri
2063,21840374915.464542,n21,mri
2064,88277276985.42014,n21,mri
2065,87239329012.88538,n21,mri
2066,64361554291.453354,n21,mri
2067,125145582527.507,n21,mri
2068,112467125454.6859,n21,mri
2069,103493354951.65411,n21,mri
2070,77087812985.21338,n21,mri
2071,119858612927.94,n21,mri
2072,90053418381.53098,n21,mri
2073,48066704784.47421,n21,mri
2074,231283792299.93893,n21,mri
2075,145739136916.1176,n21,mri
2076,95843249658.1168,n21,mri
2077,119517971891.01059,n21,mri
2078,30013169905.295624,n21,mri
2079,126063395846.70412,n21,mri
2080,92944176467.78702,n21,mri
2081,324485817645.54175,n21,mri
2082,32062573139.619053,n21,mri
2083,59760299291.20055,n21,mri
2084,35441111288.991516,n21,mri
2085,41223493207.99964,n21,mri
2086,125761862213.20308,n21,mri
2087,32306353563.977474,n21,mri
2088,336116665870.2369,n21,mri
2089,64063039184.56408,n21,mri
2090,102801885326.97487,n21,mri
2091,47173756815.698654,n21,mri
2092,184212628795.24756,n21,mri
2093,91469856525.563,n21,mri
2094,120394155306.82364,n21,mri
2095,100025864479.46545,n21,mri
2096,45680215172.760605,n21,mri
2097,101003951891.35878,n21,mri
2098,154973855317.45334,n21,mri
2099,519371359022.99036,n21,mri
2100,80691515138.68344,n21,mri
2031,1340362016065.1597,n15,ukesm
2032,786312423916.1824,n15,ukesm
2033,543603676023.17175,n15,ukesm
2034,1142969395010.8047,n15,ukesm
2035,866877863669.6802,n15,ukesm
2036,1980474474668.836,n15,ukesm
2037,256651364047.8104,n15,ukesm
2038,1080628648557.9202,n15,ukesm
2039,465983007935.0405,n15,ukesm
2040,1853181544039.815,n15,ukesm
2041,1542431144143.437,n15,ukesm
2042,1765676476199.372,n15,ukesm
2043,1235937323749.5532,n15,ukesm
2044,754869898197.3738,n15,ukesm
2045,1453788866437.3472,n15,ukesm
2046,2811645921220.329,n15,ukesm
2047,2097688741163.2827,n15,ukesm
2048,1523401451131.5137,n15,ukesm
2049,997378393506.8826,n15,ukesm
2050,3284979148600.919,n15,ukesm
2051,514270827324.6819,n15,ukesm
2052,747674440241.225,n15,ukesm
2053,2204091196316.397,n15,ukesm
2054,1110553670752.0757,n15,ukesm
2055,1151743568337.3677,n15,ukesm
2056,2661383507352.2783,n15,ukesm
2057,2361162364249.8066,n15,ukesm
2058,2689338534466.26,n15,ukesm
2059,3125595475327.98,n15,ukesm
2060,2053360217707.7876,n15,ukesm
2061,3263546670707.1133,n15,ukesm
2062,1777106300405.3364,n15,ukesm
2063,1794828947037.4077,n15,ukesm
2064,1189207763428.0625,n15,ukesm
2065,2070729365223.3994,n15,ukesm
2066,1636437930235.9365,n15,ukesm
2067,1453580991844.0098,n15,ukesm
2068,2988579858781.6953,n15,ukesm
2069,2799931962862.3335,n15,ukesm
2070,3053527512263.1904,n15,ukesm
2071,2225548333165.1523,n15,ukesm
2072,3899828738750.9336,n15,ukesm
2073,1774882475252.1743,n15,ukesm
2074,3160989958367.3105,n15,ukesm
2075,1942676245234.3335,n15,ukesm
2076,3008704057551.9697,n15,ukesm
2077,3507603940482.4287,n15,ukesm
2078,2700534807611.4775,n15,ukesm
2079,3292512192923.203,n15,ukesm
2080,1611443503301.1719,n15,ukesm
2081,2406461735443.5493,n15,ukesm
2082,2573789549873.5273,n15,ukesm
2083,2961331705687.3457,n15,ukesm
2084,2161217446245.2412,n15,ukesm
2085,3821283407764.2793,n15,ukesm
2086,2950132792454.0127,n15,ukesm
2087,3760827053937.667,n15,ukesm
2088,2841051672122.9624,n15,ukesm
2089,3537423830461.178,n15,ukesm
2090,2220158221895.4966,n15,ukesm
2091,3085442118645.3574,n15,ukesm
2092,3237638093686.5596,n15,ukesm
2093,2973428424101.573,n15,ukesm
2094,4161921600017.9287,n15,ukesm
2095,3159751955043.293,n15,ukesm
2096,2313688899424.302,n15,ukesm
2097,3146010389479.8525,n15,ukesm
2098,3547834438610.165,n15,ukesm
2099,4257862582647.6694,n15,ukesm
2100,3621857239792.373,n15,ukesm
